epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1770.59,0.65237,0.53391,1.06902,0.86887,0.85527,0.88641,0.72434,0.86337,0.88718,1.24138,0.000352076,0.000352076,0.000352076
71,1831.7,0.61625,0.50658,1.06059,0.83507,0.79206,0.86552,0.71432,0.79381,0.93626,1.16412,0.000341077,0.000341077,0.000341077
72,1890.41,0.64055,0.50401,1.06207,0.76053,0.86517,0.86541,0.71425,0.76029,0.94619,1.14322,0.000330078,0.000330078,0.000330078
73,1948.16,0.63076,0.51772,1.08502,0.81634,0.85906,0.86036,0.70619,0.75043,0.91721,1.13828,0.000319079,0.000319079,0.000319079
74,2012.06,0.59944,0.48291,1.03606,0.83253,0.85822,0.86951,0.71845,0.7727,0.91024,1.16826,0.00030808,0.00030808,0.00030808
75,2071.22,0.5813,0.49554,1.064,0.758,0.91117,0.87401,0.71566,0.77445,0.93078,1.16636,0.000297081,0.000297081,0.000297081
76,2131.54,0.60735,0.48337,1.05947,0.76446,0.8603,0.8747,0.72603,0.77865,0.98807,1.16424,0.000286083,0.000286083,0.000286083
77,2201,0.61841,0.46479,1.09124,0.74173,0.8726,0.85056,0.70412,0.81541,1.05766,1.18986,0.000275084,0.000275084,0.000275084
78,2262.24,0.56446,0.44518,1.0377,0.819,0.87052,0.86048,0.71458,0.80267,0.99561,1.17738,0.000264085,0.000264085,0.000264085
79,2318.15,0.56043,0.45832,1.03617,0.75744,0.93623,0.86089,0.70429,0.8005,0.94632,1.17083,0.000253086,0.000253086,0.000253086
80,2372.17,0.57074,0.4613,1.05914,0.77183,0.89562,0.85277,0.70324,0.78141,0.93794,1.13947,0.000242087,0.000242087,0.000242087
81,2434.53,0.55628,0.45256,1.02452,0.78168,0.8937,0.86484,0.7284,0.74719,0.89299,1.12758,0.000231088,0.000231088,0.000231088
82,2487.33,0.57263,0.46055,1.06711,0.78879,0.89049,0.87155,0.71756,0.76238,0.88892,1.146,0.000220089,0.000220089,0.000220089
83,2541.22,0.60444,0.47473,1.06693,0.75764,0.862,0.86573,0.7138,0.79301,0.90205,1.18474,0.00020909,0.00020909,0.00020909
84,2609.04,0.53534,0.40628,1.01443,0.76443,0.83732,0.87147,0.72603,0.80006,0.8976,1.20338,0.000198091,0.000198091,0.000198091
85,2663.51,0.54937,0.44364,1.01747,0.76678,0.86257,0.87372,0.72013,0.78233,0.88733,1.18731,0.000187092,0.000187092,0.000187092
86,2721.47,0.59611,0.47192,1.04861,0.81221,0.81947,0.86347,0.71805,0.78757,0.91836,1.18401,0.000176094,0.000176094,0.000176094
87,2784.49,0.5663,0.47417,1.04766,0.85605,0.82727,0.88654,0.74876,0.74828,0.87489,1.15261,0.000165095,0.000165095,0.000165095
88,2849.94,0.5766,0.43693,1.04251,0.85301,0.8292,0.8987,0.74131,0.74954,0.8402,1.16332,0.000154096,0.000154096,0.000154096
89,2910.58,0.56546,0.43123,1.04588,0.8447,0.87301,0.90234,0.74973,0.75972,0.82465,1.17442,0.000143097,0.000143097,0.000143097
90,2968.15,0.5438,0.42908,1.0282,0.85008,0.87751,0.9013,0.742,0.75335,0.84122,1.16931,0.000132098,0.000132098,0.000132098
91,3042.69,0.4263,0.40584,0.94521,0.82934,0.86996,0.89893,0.75208,0.74727,0.84537,1.16538,0.000121099,0.000121099,0.000121099
92,3097.56,0.40648,0.32817,0.92346,0.83401,0.84357,0.87727,0.7296,0.73519,0.86317,1.16343,0.0001101,0.0001101,0.0001101
93,3162.88,0.39379,0.33376,0.90393,0.85179,0.84916,0.88054,0.73277,0.73662,0.89876,1.16391,9.91012e-05,9.91012e-05,9.91012e-05
94,3216.23,0.40628,0.32637,0.92301,0.82047,0.8588,0.87152,0.72377,0.7564,0.91731,1.17035,8.81023e-05,8.81023e-05,8.81023e-05
95,3273.05,0.39314,0.31272,0.91242,0.87545,0.8126,0.88787,0.73427,0.74623,0.96381,1.15916,7.71034e-05,7.71034e-05,7.71034e-05
96,3336.84,0.41576,0.33083,0.94705,0.8899,0.81321,0.88726,0.74226,0.73081,0.94619,1.14461,6.61045e-05,6.61045e-05,6.61045e-05
97,3398.7,0.37775,0.29291,0.92323,0.86012,0.83706,0.88715,0.74995,0.71227,0.93099,1.13126,5.51056e-05,5.51056e-05,5.51056e-05
98,3457.98,0.39542,0.29561,0.91565,0.83828,0.86762,0.88947,0.75464,0.71609,0.919,1.13521,4.41067e-05,4.41067e-05,4.41067e-05
99,3513.81,0.3897,0.31234,0.92073,0.83912,0.8874,0.89016,0.7481,0.72538,0.91411,1.13978,3.31078e-05,3.31078e-05,3.31078e-05
100,3575.28,0.35827,0.28114,0.89231,0.84066,0.88704,0.89188,0.7436,0.73011,0.91351,1.14028,2.21089e-05,2.21089e-05,2.21089e-05
